Category,shippedCogs_this_year,shippedCogs_last_year,YoY % shippedCogs,shippedRevenue_this_year,shippedRevenue_last_year,YoY % shippedRevenue,shippedUnits_this_year,shippedUnits_last_year,YoY % shippedUnits,glanceViews_this_year,glanceViews_last_year,YoY % glanceViews
category17,3561.4,6164.56,-42.22783134562727,7130.3,11855.07,-39.85442515312014,186,320,-41.875,1956,4669,-58.10666095523666
category18,4590.96,6503.86,-29.411764705882348,8033.9,10417.21,-22.87858265312881,132,187,-29.411764705882355,1943,2271,-14.44297666226332
category19,17027.06,20187.05,-15.653550172016208,29333.09,33489.94,-12.412234838282783,1294,1479,-12.50845165652468,6241,7689,-18.83209780205489
category20,4.03,1073.85,-99.62471481119336,12.59,2384.39,-99.47198235188036,1,210,-99.52380952380952,2,1071,-99.81325863678804
category21,3664.2,3571.42,2.597846234830956,7204.33,10382.62,-30.611637525017777,591,576,2.604166666666667,3655,3558,2.726250702641934
category22,216813.35,94857.0,128.56863489252245,279467.78,147497.1,89.47340659579068,7834,3038,157.8670177748519,94269,40006,135.63715442683596
category23,4133.41,7427.26,-44.34811760999346,7743.19,13247.19,-41.5484340452579,277,501,-44.71057884231537,2328,3705,-37.16599190283401
category24,2329.75,2883.44,-19.2024110090725,4113.74,5677.78,-27.546681977815275,113,140,-19.28571428571429,939,1649,-43.05639781685871
category25,4913.25,1982.8,147.7935243090579,10001.69,3752.84,166.50989650504684,337,137,145.98540145985402,7191,1512,375.5952380952381
category26,216.48,220.0,-1.5999999999999917,410.52,409.86,0.1610305958131967,25,25,0.0,284,384,-26.041666666666668
category27,603.51,3137.7,-80.76584759537239,1030.0,5120.860000000001,-79.88619099135693,7,36,-80.55555555555556,1159,4415,-73.74858437146092
category28,93256.09,151493.5,-38.4421839880919,157653.98,251899.59,-37.41395926845295,834,1300,-35.84615384615385,52577,66327,-20.730622521748305
category29,17944.27,38501.52,-53.393346548396,34589.01,64219.94,-46.13976593562685,642,1333,-51.83795948987247,15830,27077,-41.53709790597186
category30,198093.98,218291.18,-9.252412305435328,407940.15,449469.86,-9.239709643712253,17442,19184,-9.08048373644704,107956,111152,-2.875341874190298
category31,507356.42,693377.53,-26.82825761602053,886033.34,1411320.6,-37.21955592513849,35602,50121,-28.967897687596015,234191,358176,-34.61566380773698
category32,78766.62,99793.38,-21.070295444447325,134855.31,187404.95,-28.040689426826777,4761,5496,-13.373362445414848,58284,79574,-26.75497021640234
category33,12443.36,22741.97,-45.284599355288925,35151.83,50151.09,-29.908143571754863,638,673,-5.200594353640416,8367,10717,-21.92777829616497
category34,599.67,748.25,-19.85699966588708,1162.02,1400.61,-17.03472058603038,35,41,-14.634146341463412,529,737,-28.222523744911804
category35,187.75,668.9100000000001,-71.93194899164313,331.1,1230.63,-73.09508138108123,22,77,-71.42857142857143,145,581,-75.04302925989673
category36,13037.17,23993.63,-45.66403666306432,29749.19,63612.23,-53.23353701010009,1918,4229,-54.64648853156775,8613,18995,-54.65648854961832
category37,1952.89,2036.44,-4.102747932666809,1797.8300000000002,3235.55,-44.435103769065535,83,91,-8.791208791208792,1662,3599,-53.82050569602668
category38,87.76,4313.38,-97.96540068345472,262.58000000000004,16970.73,-98.45274776040864,2,276,-99.27536231884058,118,3480,-96.60919540229884
category39,40000.92,74102.63,-46.01956772654359,91860.07,160475.25,-42.75748440958965,6607,12222,-45.94174439535264,88339,144976,-39.06646617371151
category40,12646.08,1048.37,1106.2611482587254,17887.46,1906.54,838.2158255268706,287,27,962.9629629629628,4589,997,360.2808425275828
category41,4358.76,32421.53,-86.55597067750966,9624.43,58181.55,-83.45793468891772,189,1468,-87.12534059945504,1826,12196,-85.02787799278451
category42,3487.98,9769.02,-64.29549739892026,5779.95,17093.35,-66.18597290759271,181,701,-74.17974322396577,2708,7019,-61.41900555634706
category43,3052.87,5209.75,-41.40083497288738,6243.05,12505.12,-50.07604885039088,59,113,-47.78761061946903,2591,5807,-55.38143619769244
category44,7236.67,9861.56,-26.617391163264227,17627.6,15476.23,13.90112449866666,195,159,22.641509433962263,7817,6565,19.07083015993907
