Category,shippedCogs_this_year,shippedCogs_last_year,YoY % shippedCogs,shippedRevenue_this_year,shippedRevenue_last_year,YoY % shippedRevenue,shippedUnits_this_year,shippedUnits_last_year,YoY % shippedUnits,glanceViews_this_year,glanceViews_last_year,YoY % glanceViews
category44,43837.55,56965.08,-23.044872402531517,94006.52,111466.92,-15.66419884930883,1050,1225,-14.285714285714285,30149,40597,-25.735891814666108
category45,15393.58,41696.75,-63.08206275069399,25494.27,61332.84,-58.43292109088702,707,1770,-60.056497175141246,8390,23989,-65.02563675017716
category46,175427.3,133764.5,31.146380392406048,285278.05,248702.44,14.706574652021905,2485,1838,35.201305767138194,118807,124748,-4.76240100041684
category47,904741.0,1238852.06,-26.96940746904033,1911572.29,2597803.92,-26.41583626527132,59614,82428,-27.67748823215413,483088,679702,-28.9265001427096
category48,2927.16,2141.91,36.66120425227951,12116.58,9350.96,29.5757868710806,174,153,13.725490196078432,5865,3493,67.90724305754365
category49,922271.48,116500.16,691.6482518135597,1496928.73,184596.92,710.9175006820266,66438,8202,710.0219458668618,410582,64767,533.937035836151
category50,171447.24,8217.26,1986.428322822936,308327.14,10957.26,2713.907308944024,6286,274,2194.160583941606,91591,2427,3673.836011536877
category51,1633724.63,2184403.87,-25.209589104051545,3116669.08,4300887.04,-27.534272557876804,83366,109912,-24.15204891185676,631759,766157,-17.5418354201554
category52,37413.87,85911.23999999999,-56.45055291950156,73335.97,157928.47,-53.56380644984403,4922,11290,-56.40389725420726,42786,99674,-57.07406144029537
category53,32614.58,170721.0,-80.895976476239,60876.26,304681.49,-80.01970516817416,725,4401,-83.5264712565326,27705,85329,-67.53155433674365
category54,37295.38,48761.34,-23.514448126323035,64544.8,102004.82,-36.72377442556146,628,979,-35.85291113381001,20011,32397,-38.23193505571504
category55,66386.87,111006.04,-40.19526324873854,138394.94,253755.93,-45.46139670509375,1270,2514,-49.482895783611774,44669,84741,-47.2876175641071
category56,6977.56,24406.01,-71.41048454868287,24849.07,57955.94,-57.12420504265826,282,720,-60.83333333333333,7867,24133,-67.40148344590395
category57,96793.08,186656.64,-48.14377886583622,229324.72,363475.91,-36.90786275216975,2798,3566,-21.53673583847448,82734,101227,-18.26884131703992
category58,8219.48,15866.68,-48.1965981541192,20434.5,37450.07,-45.43534898599656,218,341,-36.070381231671554,12116,18054,-32.89021823418633
category59,2225.9,13844.71,-83.9223790169675,5882.75,36232.2,-83.76375158008622,66,540,-87.77777777777777,4028,36635,-89.00504981574997
category60,112346.9,132629.81,-15.292874203770634,159326.04,191474.52,-16.789951999879673,2503,3014,-16.95421366954214,70665,65378,8.086818195723332
category61,8336.12,99763.03,-91.64407897394456,27427.13,232278.85,-88.19215352581607,511,4401,-88.38900249943194,8482,99031,-91.4350052003918
category62,44213.19,85940.12,-48.5534928273314,74622.54,138807.40000000002,-46.24022926731573,782,1508,-48.14323607427056,32444,26876,20.71736865605001
category63,23037.82,33669.9,-31.577402962289764,60697.130000000005,122431.63,-50.42365277665584,839,2201,-61.88096319854611,17556,55776,-68.52409638554217
category64,28245.4,38144.8,-25.952161238229067,52323.850000000006,69565.07,-24.78430626174889,531,736,-27.85326086956521,12811,15389,-16.752225615699526
category65,26361.1,50467.28,-47.76595845862904,50358.43,101994.13,-50.62614877934642,558,1238,-54.92730210016155,24194,42470,-43.032728985166
category66,9221.2,20924.6,-55.93129617770472,14977.91,43514.53,-65.57952022002766,129,350,-63.142857142857146,7774,24461,-68.21879726912228
category67,952.7,381.08,149.99999999999997,2112.9,726.6800000000001,190.76071998678924,10,4,150.0,749,922,-18.76355748373102
category68,13674.06,20745.72,-34.08732017977684,26528.52,40590.53,-34.643573266966456,333,520,-35.96153846153846,7479,15812,-52.70048064760942
category69,5754.84,9951.61,-42.17176919111581,9447.92,15962.73,-40.812630420986885,81,145,-44.13793103448276,4755,9031,-47.348023474698266
category70,4550.16,13300.9,-65.7905855994707,8322.07,26289.09,-68.3440164722324,59,165,-64.24242424242425,2806,6947,-59.60846408521664
category71,36713.27,110111.4,-66.65806628559804,141427.1,337035.61,-58.03793551666543,2411,6233,-61.31878710091448,67002,134647,-50.23877249400284
